0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:27:09 +0530] "GET /api/staticpage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:27:10 +0530] "GET /api/staticpage/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:27:10 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:27:12 +0530] "GET /api/staticpage/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:27:45 +0530] "GET /api HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:27:45 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:30:41 +0530] "GET /api HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:30:41 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:30:44 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:30:45 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:30:45 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:30:45 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:30:45 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:30:45 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:30:45 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:30:45 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:30:46 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:30:46 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:32:15 +0530] "GET /api HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:32:15 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:32:15 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:32:17 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:34:39 +0530] "GET /api HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:34:39 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:34:39 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:34:41 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:34:42 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:34:42 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:35:18 +0530] "GET /api HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:35:18 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:35:18 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:35:20 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:35:21 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:35:21 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:35:21 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:35:21 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:35:21 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:36:13 +0530] "GET /api HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:36:13 +0530] "GET /api/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:36:13 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [18/Dec/2025:14:36:15 +0530] "GET /api/ HTTP/1.1" 404 759
